file,bank,addr,label,name,pic,textend,nowrap,zh,en,deepl,checked,notes
bank08_misc2,08,4519,,0,$1a,done,,嗯﹐找死﹗,"OK, I'll risk it!",0,0,
,08,4526,,0,$1a,done,,﹗,!,0,0,
,08,452d,,0,$1a,done,,嗯嗯嗯,"Hahaha

",0,0,
,08,4537,,0,$1a,getchoice String_1cd0,,嗯嗯嗯,"Hahaha

",0,0,
battle_menu,2b,65dd,BattleMenu_HelpText,,,db $ed,1,攻擊道具交換逃跑,AtkMonBagRun,0,0,
battle_messages,2d,4216,BattleText_4216,,,done,,"辰虎：師兄﹐一較高下吧﹗
嚴龍：我不會輸給你的⚬
辰虎：試過才知道﹗
嚴龍：⟨name⟩看你的了⚬","Chen Hu: Senior Brother, let's settle this!
Yan Long: I won't lose to you.
Chen Hu: You'll have to try it to find out!
Yan Long: <name>, it's up to you.",1,0,
,2d,4257,BattleText_4257,,,done,1,⟨trainer⟩：⟨name⟩﹐去吧﹗,"<trainer>: Go,

<name>!",0,0,
,2d,4263,BattleText_4263,,,done,1,⟨trainer⟩：輪到你了﹐⟨name⟩﹗,"<trainer>: Your turn,

<name>!",0,0,
,2d,4273,BattleText_4273,,,done,1,⟨trainer⟩：⟨name⟩﹐就靠你了﹗,"<trainer>: <name>,

it's up to you!",0,0,
,2d,4282,BattleText_4282,,,done,1,⟨trainer⟩：加油吧﹐⟨name⟩﹗,"<trainer>: Good luck,

<name>!",0,0,
,2d,428e,BattleText_428e,,,done,1,⟨trainer⟩：看我的厲害⚬⟨name⟩﹖﹐去吧﹗,"<trainer>: Watch me!

<name>, go!",0,0,
,2d,42a5,BattleText_42a5,,,line,1,⟨trainer⟩：做的不錯﹐⟨name⟩回來吧﹗,"<trainer>: Well done!

<name>, come
back!",0,0,
,2d,42bb,BattleText_42bb,,,done,1,⟨trainer⟩：算了～回來吧﹐⟨name⟩﹗,"<trainer>: Nevermind.

Come back,
<name>!",0,0,
,2d,42cf,BattleText_42cf,,,done,1,⟨trainer⟩：危險﹗回來吧﹐⟨name⟩﹗,"<trainer>: Be

careful!

<name>! Come back!",0,0,
,2d,42e1,BattleText_42e1,,,line,1,⟨name⟩的攻擊～⟨e6⟩～﹗,"<name> used

<e6>!",0,0,
,2d,42ef,BattleText_42ef,,,line,1,⟨name⟩出招了～⟨e6⟩～﹗,"<name> advances!

<e6>!",0,0,
,2d,42fd,BattleText_42fd,,,line,1,⟨name⟩使出了密技～⟨e6⟩～﹗,"<name> used ST

<e6>!",0,0,
,2d,4310,BattleText_4310,,,line,1,⟨name⟩法力聚集了﹗⟨e6⟩～﹗,"<name> gathered

magic power!

<e6>!",0,0,
,2d,4321,BattleText_4321,,,line,1,⟨name⟩全心的攻擊～⟨e6⟩～﹗,"<name> launched

<e6>!",0,0,
,2d,4333,BattleText_4333,,,line,1,⟨name⟩躲過了⋯,<name> dodged...,0,0,
,2d,433c,BattleText_433c,,,line,1,沒有命中⋯,Missed...,0,0,
,2d,4346,BattleText_4346,,,line,1,⟨name⟩似乎躲開了﹗,"<name> seems

to have dodged!",0,0,
,2d,4350,BattleText_4350,,,line,1,被⟨name⟩識破了﹗,"<name> saw

through it!",0,0,
,2d,435b,BattleText_435b,,,line,1,對⟨name⟩起不了任何作用﹗,"No effect on

<name>!",0,0,
,2d,436c,BattleText_436c,,,line,1,效果非常好﹗,Super effective!,0,0,
,2d,4376,BattleText_4376,,,line,1,效果很好﹗,Effective!,0,0,
,2d,437f,BattleText_437f,,,line,1,效果普通﹗,Not too effective!,0,0,
,2d,4389,BattleText_4389,,,line,1,效果不好﹗,Ineffective!,0,0,
,2d,4393,BattleText_4393,,,line,1,⟨name⟩被涷傷了﹗,,0,0,
,2d,439e,BattleText_439e,,,line,1,⟨name⟩被灼傷了﹗,,0,0,
,2d,43a8,BattleText_43a8,,,line,1,⟨name⟩中毒了﹗,,0,0,
,2d,43b0,BattleText_43b0,,,line,1,⟨name⟩混亂了﹗,,0,0,
,2d,43b9,BattleText_43b9,,,line,1,⟨name⟩睡著了﹗,,0,0,
,2d,43c2,BattleText_43c2,,,line,1,⟨name⟩嚇了一跳﹗,,0,0,
,2d,43ce,BattleText_43ce,,,line,1,⟨name⟩麻痺了﹗,,0,0,
,2d,43d6,BattleText_43d6,,,line,1,⟨name⟩的防禦力下降了﹗,,0,0,
,2d,43e4,BattleText_43e4,,,line,1,⟨name⟩的命中率下降了﹗,,0,0,
,2d,43f3,BattleText_43f3,,,line,1,⟨name⟩的速度下降了﹗,,0,0,
,2d,43ff,BattleText_43ff,,,line,1,⟨name⟩將攻擊反彈回去了﹗,,0,0,
,2d,440f,BattleText_440f,,,line,1,⟨name⟩不知怎麼回事的攻擊了自己﹗,,0,0,
,2d,4427,BattleText_4427,,,line,1,⟨name⟩嚇一跳﹐而忘了攻擊﹗,,0,0,
,2d,4439,BattleText_4439,,,line,1,⟨name⟩還沒有醒來⋯,,0,0,
,2d,4444,BattleText_4444,,,line,1,⟨name⟩醒過來了﹗,,0,0,
,2d,444d,BattleText_444d,,,line,1,命中了⟨name⟩的要害﹗﹗,"Hit <name>

critically!!",0,0,
,2d,445c,BattleText_445c,,,line,1,"辰虎：師兄﹐這就是你的程度嗎﹖
巴洛特：可⋯可惡﹗",,0,0,
,2d,4487,BattleText_4487,,,line,1,戰鬥勝利了﹗,,0,0,
,2d,4492,BattleText_4492,,,line,1,辰虎：可惡﹗師兄﹐我會再努力的﹗,,0,0,
,2d,44ac,BattleText_44ac,,,line,1,得到⟨num⟩點經驗值,,0,0,
,2d,44b7,BattleText_44b7,,,line,1,得到⟨num⟩元,,0,0,
,2d,44bf,BattleText_44bf,,,done,1,⟨name⟩升級了﹗,,0,0,
,2d,44c7,BattleText_44c7,,,line,1,⟨e5⟩裝備﹐發揮效用～,,0,0,
,2d,44d6,BattleText_44d6,,,line,1,"⟨name⟩復活﹐並回復
５０％的體力⚬",,0,0,
,2d,44ec,BattleText_44ec,,,line,1,使用～⟨name2⟩,,0,0,
,2d,44f3,BattleText_44f3,,,line,1,使用道具,,0,0,
,2d,44f9,BattleText_44f9,,,line,1,提升⟨name⟩點魔禦力,,0,0,
,2d,4505,BattleText_4505,,,done,1,⟨name⟩學到了新技巧～⟨e6⟩,,0,0,
,2d,4511,BattleText_4511,,,line,1,效果不錯﹗,Works great!,1,0,
,2d,451b,BattleText_451b,,,line,1,效果還可以﹗,Works pretty well!,1,0,
,2d,4525,BattleText_4525,,,line,1,⟨name⟩忍耐中,,0,0,
,2d,452b,BattleText_452b,,,line,1,⟨name⟩忍無可忍,,0,0,
,2d,4534,BattleText_4534,,,line,1,⟨name⟩的防禦力提昇了﹗,,0,0,
,2d,4543,BattleText_4543,,,line,1,⟨name⟩的命中率提昇了﹗,,0,0,
,2d,4552,BattleText_4552,,,line,1,⟨name⟩的速度提昇了﹗,,0,0,
,2d,455e,BattleText_455e,,,line,1,⟨name⟩的攻擊力提昇了﹗,,0,0,
,2d,456d,BattleText_456d,,,line,1,⟨name⟩的命中率提昇了﹗,,0,0,
,2d,457c,BattleText_457c,,,line,1,⟨name⟩獲得先發攻擊﹗,,0,0,
,2d,4588,BattleText_4588,,,line,1,⟨name⟩被封印了一項技巧,,0,0,
,2d,4597,BattleText_4597,,,line,1,⟨name⟩無法動彈,,0,0,
,2d,45a0,BattleText_45a0,,,line,1,⟨name⟩血量回復了,,0,0,
,2d,45aa,BattleText_45aa,,,line,1,⟨name⟩迴避率提昇了,,0,0,
,2d,45b5,BattleText_45b5,,,line,1,⟨name⟩嚇跑了,,0,0,
,2d,45bc,BattleText_45bc,,,line,1,⟨name⟩提昇所有能力,,0,0,
,2d,45c8,BattleText_45c8,,,line,1,⟨name⟩攻擊力下降,,0,0,
,2d,45d1,BattleText_45d1,,,line,1,⟨name⟩命中要害機率提昇,,0,0,
,2d,45e0,BattleText_45e0,,,line,1,⟨name⟩力量儲存中,,0,0,
,2d,45ec,BattleText_45ec,,,line,1,⟨name⟩鑽入地底,,0,0,
,2d,45f5,BattleText_45f5,,,line,1,⟨name⟩被種植寄魂種子,,0,0,
,2d,4602,BattleText_4602,,,line,1,⟨name⟩變成豬了,,0,0,
,2d,460b,BattleText_460b,,,line,1,⟨name⟩使用替身,,0,0,
,2d,4613,BattleText_4613,,,line,1,⟨name⟩飛上天空,,0,0,
,2d,461d,BattleText_461d,,,line,1,⟨name⟩模仿對手技巧,,0,0,
,2d,4629,BattleText_4629,,,line,1,雙方狀態恢復了,,0,0,
,2d,4635,BattleText_4635,,,line,1,⟨name⟩燙傷‧凍傷‧麻痺‧混亂,,0,0,
,2d,464b,BattleText_464b,,,line,1,逃跑成功,Got away safely!,0,0,
,2d,4651,BattleText_4651,,,line,1,逃跑失敗,Can't run!,0,0,
,2d,4657,BattleText_4657,,,line,1,⟨name⟩被收服了,Caught <name>!,0,0,
,2d,4660,BattleText_4660,,,line,1,收服失敗了,"Darn, so close too!",0,0,
,2d,4668,BattleText_4668,,,line,1,⟨name⟩已送回託管盒中,"<name> was sent to

the Box!",0,0,
,2d,4676,BattleText_4676,,,line,1,⟨name⟩的迴避率下降了﹗,"<name>'s less

likely to escape!",0,0,
,2d,4683,BattleText_4683,,,line,1,發現了⟨name⟩,"Encountered

<name>!",0,0,
,2d,468b,BattleText_468b,,,line,1,⟨name⟩出現了,"<name>

appeared!",0,0,
,2d,4693,BattleText_4693,,,line,1,戰鬥失敗,Lost!,0,0,
,2d,469b,BattleText_469b,,,line,1,錢被偷走了,The money was stolen...,0,0,
,2d,46a4,BattleText_46a4,,,line,1,變成⟨name⟩了,"It became
<name>!",0,0,
,2d,46ab,BattleText_46ab,,,line,1,抱歉﹗你的盒子已滿﹗,"Sorry, your box is full!",0,0,
,2d,46bd,BattleText_46bd,,,line,1,寄魂種子﹐發揮效用～,Soul Seed took effect!,0,0,
,2d,46cf,BattleText_46cf,,,line,1,謎的力量儲存中～,The power of the mystery is being stored...,1,0,
buy_sell_cancel,00,1d59,Std_BuySellCancel_String,,,buysellcancel_menu,,買 賣 取消,,0,0,
equipment_names,1e,5268,,,,return,,,,0,0,
,1e,526e,,,,return,,奇蹟膠囊,Mir.Capsule,0,0,
,1e,5274,,,,return,,元氣點滴,Vital Drop,0,0,
,1e,527c,,,,return,,火龍之刺,Fire Spear,0,0,
,1e,5284,,,,return,,人魚之刺,Mer Spear,0,0,
,1e,528c,,,,return,,雷螯之刺,Thd. Spear,0,0,
,1e,5294,,,,return,,石螯之刺,Stone Spear,0,0,
,1e,529c,,,,return,,風娘之刺,Wind Spear,0,0,
,1e,52a4,,,,return,,木靈之刺,Wood Spear,0,0,
,1e,52ab,,,,return,,狂神之刺,Wild Spear,0,0,
,1e,52b1,,,,return,,火龍鱗,Fire Scale,0,0,
,1e,52b7,,,,return,,人魚之淚,Mer Tear,0,0,
,1e,52c0,,,,return,,雷淚甲,Thd. Tear,0,0,
,1e,52c6,,,,return,,石螯之羽,Stn. Feather,0,0,
,1e,52cf,,,,return,,風娘之衣,Wind Cloth,0,0,
,1e,52d8,,,,return,,木靈盾,Wood Shield,0,0,
,1e,52de,,,,return,,鬧鐘,Alarm Clock,0,0,
,1e,52e2,,,,return,,神之守護,Divine Guard,0,0,
,1e,52ea,,,,return,,救護之玉,Healing Jade,0,0,
,1e,52f2,,,,return,,元氣之玉,Vital Jade,0,0,
,1e,52fa,,,,return,,奇蹟之玉,Miracle Jade,0,0,
,1e,5302,,,,return,,幻晶,Phantom Crystal,0,0,
item_names,1e,4f91,,,,return,,,,0,0,
,1e,4f97,,,,return,,怪獸膠囊,M-Capsule,0,0,
,1e,4f9d,,,,return,,極速膠囊,S-Capsule,0,0,
,1e,4fa3,,,,return,,強力膠囊,P-Capsule,0,0,
,1e,4faa,,,,return,,極品膠囊,H-Capsule,0,0,
,1e,4fb0,,,,return,,巴利果實,PearyBerry,0,0,
,1e,4fb7,,,,return,,醫療包,Medkit,0,0,
,1e,4fbe,,,,return,,強效藥,S-Med,0,0,
,1e,4fc4,,,,return,,超濃縮藥,MegaCure,0,0,
,1e,4fcc,,,,return,,健康藥草,Herbs,0,0,
,1e,4fd2,,,,return,,醫療針劑,Injection,0,0,
,1e,4fda,,,,return,,神之花,Godflower,0,0,
,1e,4fdf,,,,return,,解毒針,Antidote,0,0,
,1e,4fe6,,,,return,,麻痺血清,Paraserum,0,0,
,1e,4fed,,,,return,,興奮劑,Stimulant,0,0,
,1e,4ff2,,,,return,,除熱藥膏,Anti-Burn,0,0,
,1e,4ffa,,,,return,,防寒藥膏,Anti-Cold,0,0,
,1e,5001,,,,return,,萬能血清,S-Serum,0,0,
,1e,5009,,,,return,,急救包,First Aid Kit,0,0,
,1e,500e,,,,return,,急救機器,First Aid Mch.,0,0,
,1e,5014,,,,return,,甦生儀,Revive,0,0,
,1e,5019,,,,return,,精力壽司,Pow.Sushi,0,0,
,1e,5020,,,,return,,能源補充,Pow.Boost,0,0,
,1e,5026,,,,return,,營養大餐,Meal,0,0,
,1e,502e,,,,return,,大力針,Pow.Needle,0,0,
,1e,5034,,,,return,,硬化針,Hard Needle,0,0,
,1e,503a,,,,return,,迴避針,Evade Needle,0,0,
,1e,503f,,,,return,,神準針,Acc.Needle,0,0,
,1e,5045,,,,return,,高速針,Spd.Needle,0,0,
